11/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP4Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/11-01.htm""><b>Феодосия</b></a> Великого, общих житий начальника (529).
#TP2Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/11-02.htm""><b>Михаила</b></a> Клопского, Новгородского (ок. 1453-1456).
#TPo<span class=""minortext "">Сщмчч. Николая, Феодора и Владимира пресвитеров (1919).</span>
#TPo<span class=""minortext "">Св. Владимира исп., пресвитера (1932).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/11-03.htm"">Феодосия</a> Антиохийского (ок. 412).
#TP0<a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/11-05.htm"">Елецкой</a> иконы Божией Матери (1060).
</span>
"
12/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP1Мц. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-01.htm"">Татианы</a> и с нею в Риме пострадавших (226-235).
#TP3Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-02.htm""><b>Саввы</b></a>, архиеп. Сербского (1237).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-03.htm"">Мартиниана</a> и <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-07.htm"">Галактиона</a> Белоезерских (1483).
#TP0Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-04.htm"">Мертия</a> (284-305).
#TP0Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-05.htm"">Петра</a> Авессаломита (309-310).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-06.htm"">Евпраксии</a> Тавенисской (393).
#TP0Икон Божией Матери, именуемых <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-08.htm"">""Акафистная""</a> и <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/12-09.htm"">""Млекопитательница""</a>.
</span>
"
13/01,"<span class=""normaltext"">#TP1<i>Попразднство Богоявления.</i>
#TP1Мчч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/13-01.htm"">Ермила и Стратоника</a> (ок. 315).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/13-02.htm"">Иринарха</a>, затворника Ростовского (1616).
#TP1Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/13-03.htm"">Елеазар</a>а Анзерского (1656).
#TP0Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/13-06.htm"">Петра</a> Анийского (309-310).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/13-04.htm"">Иакова</a>, еп. Низибийского (350).<br></span>
"
14/01,"<span class=""normaltext"">#TP1<i>Отдание праздника Богоявления.</i>
#TP1Прпп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/14-01.htm"">отцев, в Синае и Раифе</a> избиенных: Исаии, Саввы, Моисея и ученика его Моисея, Иеремии, Павла, Адама, Сергия, Домна, Прокла, Ипатия, Исаака, Макария, Марка, Вениамина, Евсевия, Илии и иных с ними (IV-V).
#TP4Равноап. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/14-02.htm""><b>Нины</b></a>, просветительницы Грузии (335).
#TPo<span class=""minortext "">Новосщмч. еп. Амвросия (Гудко) и новомчч. в Раифской пустыни близ Казани убиенных (1918).</span>
#TPo<span class=""minortext "">Прп. Иоанна исп (1961).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/14-03.htm"">Иосифа</a> Аналитина Раифского (IV).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/14-04.htm"">Феодула</a>, сына прп. Нила Синайского (V).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/14-05.htm"">Стефана</a> (VIII).
</span>
"
15/01,"<span class=""normaltext"">#TP2Прпп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/15-01.htm""><b>Павла</b></a> Фивейского (341) и <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/15-02.htm""><b>Иоанна</b></a> Кущника (V).
#TPo<span class=""minortext "">Сщмч. Михаила пресвитера (1942).</span>
#TPo<span class=""minortext "">Сщмч. Вениамина, еп. Романовского (1930).</span>
#TP0Прмч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/15-04.htm"">Пансофия</a> (249-251).
#TP0Прпп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/15-05.htm"">Прохора</a> (X) и <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/15-06.htm"">Гавриила</a> (XI) (<i>Серб.</i>).
#TP0Свт. Герасима, патриарха Александрийского (1714).
</span>
"
16/01,"<span class=""normaltext"">#TP2Поклонение честным веригам ап. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/16-01.htm""><b>Петра</b></a> .
#TP1Блаж. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/16-03.htm"">Максима</a>, иерея Тотемского (1650).
#TPo<span class=""minortext "">Сщмч. Иоанна пресвитера (1919).</span>
#TP0Мчч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/16-02.htm"">Спевсиппа, Елевсиппа, Мелевсиппа</a>, бабки их <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/16-02.htm"">Леониллы</a> и с ними <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/16-02.htm"">Неона, Турвона и Иовиллы</a> (161-180).
#TP0Мч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/16-04.htm"">Данакта</a> чтеца (II).
</span>
"
17/01,"<span class=""normaltext"">#TP5Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/17-01.htm""><b>Антония</b></a> Великого (356).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/17-02.htm"">Антония</a> Дымского (ок. 1224).
#TPo<span class=""minortext "">Сщмч. Виктора пресвитера (1931).</span>
#TPo<span class=""minortext "">Сщмч. Павла пресвитера (1938).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/17-03.htm"">Антония</a> Черноезерского (XVI).
</span>
"
18/01,"<span class=""normaltext"">#TP2Свтт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-01.htm""><b>Афанасия</b></a> (373) и <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-01.htm""><b>Кирилла</b></a> (444), архиепископов Александрийских.
#TP1Прпп. схимонаха <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-02.htm"">Кирилла</a> и схимонахини <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-02.htm"">Марии</a> (ок. 1337), родителей прп. Сергия Радонежского.
#TPo<span class=""minortext "">Сщмч. Михаила пресвитера (1919).</span>
#TPo<span class=""minortext "">Сщмч. Евгения пресвитера (1930).</span>
#TPo<span class=""minortext "">Сщмчч. Владимира, Николая, Сергия, Александра пресвитеров (1938).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-03.htm"">Афанасия</a> Сянжемского, Вологодского (ок. 1550).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-04.htm"">Афанасия</a> Новолоцкого (XVI-XVII).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/18-05.htm"">Маркиана</a> Кирского (ок. 388).
</span>
"
19/01,"<span class=""normaltext"">#TP2Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-01.htm""><b>Макария</b></a> Великого, Египетского (390-391).
#TP1Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-08.htm"">Марка</a>, архиеп. Ефесского (1457).
#TP0Блж. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-03.htm"">Феодора</a>, Христа ради юродивого, Новгородского (1392).
#TP0Прп. Макария Римлянина, Новгородского (XVI-XVII).
#TPo<span class=""minortext "">Сщмч. Петра пресвитера (1918).</span>
#TPo<span class=""minortext "">Сщмч. Николая пресвитера (1930).</span>
#TPo<span class=""minortext "">Мч. Феодора (1940).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-02.htm"">Макария</a>, постника Печерского, в Ближних пещерах (XII).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-02.htm"">Макария</a>, диакона Печерского, в Дальних пещерах (XIII-XIV).
#TP0Обретение мощей прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-04.htm"">Саввы</a> Сторожевского, Звенигородского (1652).
#TP0Мц. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-05.htm"">Евфрасии</a> девы (303).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-06.htm"">Макария</a> Александрийского (394-395).
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-09.htm"">Антония</a>, столпника Марткопского (VI) (<i>Груз.</i>).
#TP0Свт. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/19-07.htm"">Арсения</a>, архиеп. Керкирского (VIII).
#TPo<span class=""minortext "">Св. Бранваладера Корневильского и остр. Чэннел (VI) (<i>Кельт. и Брит.)</i>.</span>
#TPo<span class=""minortext "">Прп. Мелетия Галлесиота, монаха (<i>Греч.</i>).</span>
#TPo<span class=""minortext "">Перенесение мощей (950) Св. Григория Богослова (389).</span>
#TPo<span class=""minortext "">Мч. Антония Купразитского (VIII).</span>

#TP1<strong>День интронизации Святейшего Патриарха Московского и всея Руси Кирилла.</strong>
</span>
"
20/01,"<span class=""normaltext"">#TP5Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/20-01.htm""><b>Евфимия</b></a> Великого (473).
#TPo<span class=""minortext "">Сщмч. Павла пресвитера (1940).</span>
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/20-05.htm"">Евфимия</a> молчальника (XIV) и Лаврентия затворника (XIII-XIV), Печерских, в Дальних пещерах.
#TP0Прп. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/20-06.htm"">Евфимия</a> Сянжемского, Вологодского (ок. 1465).
#TP0Мчч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/20-02.htm"">Инны, Пинны и Риммы</a> - скифов (I-II).
#TP0Мчч. <a  class=""main"" href=""http://www.holytrinityorthodox.com/ru/calendar/los/January/20-03.htm"">Вассы, Евсевия, Евтихия и Василида</a> (303).
</span>
"
