Дата,Утром,Вечером
23/05/14,Ин 9:1–38,Деян 17:16-34
26/05/14,Ин 9:39 – 10:9,Деян 18
27/05/14,Ин 10:10–16,Деян 19
28/05/14,Ин 10:17–26,"Зах 14:4,8-11 или Ис 2:2-3 или Ис 62:10-12; 63, 1-3, 7-9"
29/05/14,Мк 16:9-20,Деян 20:1-12
30/05/14,Ин 10:27–42,Деян 20:13-38
1/06/14,"Ев/ 10-е, Ин 21:1-14",
2/06/14,Ин 11:1–45,Деян 21:1-14
3/06/14,Ин 11:46–57,Деян 21:15-40
4/06/14,Ин 12:1–18,Деян 22
5/06/14,Ин 12:19–36,Деян 23:1-11 
6/06/14,Ин 12:37–50,Деян 23:12-35
7/06/14,,"Числ 11:16-17, 24-29 или Иез 36:24-28 или Иоиль 2:23-32"
8/06/14,Ин 20:19–23/,
9/06/14,Ин 20:1–10,Деян 24
10/06/14,Ин 20:11–18,Деян 25
11/06/14,Ин 20:19–31,Деян 26
12/06/14,Ин 21:1–14,Деян 27
13/06/14,Ин 21:15–25,Деян 28
16/06/14,Мк 1,Рим 1:1–17
17/06/14,Мк 2,Рим 1:18–2:9
18/06/14,Мк 3,Рим 2:10–29
19/06/14,Мк 4:10–34,Рим 2:28–3:18
20/06/14,Мк 4:35–41,Рим 3:19–4:3
23/06/14,Мк 5:1–20,Рим 4:4–12
24/06/14,Мк 5:22–43,Рим 4:13–25
25/06/14,Мк 6:1–13,Рим 5:1–16
26/06/14,Мк 6:14–30,Рим 5:17–6:11
27/06/14,Мк 6:30–45,Рим 6:11–23
30/06/14,Мк 6:45–56,Рим 7:1–13
1/07/14,Мк 7:1–24А,Рим 7:14–8:2
2/07/14,Мк 7:24–37,Рим 8:2–13
3/07/14,Мк 8:1–21,Рим 8:14–39
4/07/14,Мк 8:22–9:1,Рим 9:1–19
7/07/14,См. отдельное расписание,Рим 9:18–10:10
8/07/14,Мк 9:2–13,Рим 10:11–11:2
9/07/14,Мк 9:14–32,Рим 11:2–12
10/07/14,Мк 9:33–10:1,Рим 11:13–36
11/07/14,Мк 10:2–16,См. отдельное расписание
14/07/14,Мк 10:17–31,Рим 12
15/07/14,Мк 10:32-45,Рим 13:1–14:5
